,STOCK_CODE,Date,file_name
0,300003.SZ,20200316,sz300003_20200316
1,300003.SZ,20200317,sz300003_20200317
2,300003.SZ,20200318,sz300003_20200318
3,300003.SZ,20200319,sz300003_20200319
4,300003.SZ,20200320,sz300003_20200320
5,300003.SZ,20200323,sz300003_20200323
6,300003.SZ,20200324,sz300003_20200324
7,300003.SZ,20200325,sz300003_20200325
8,300003.SZ,20200326,sz300003_20200326
9,300003.SZ,20200327,sz300003_20200327
10,300003.SZ,20200330,sz300003_20200330
11,300003.SZ,20200331,sz300003_20200331
12,300003.SZ,20200401,sz300003_20200401
13,300003.SZ,20200402,sz300003_20200402
14,300003.SZ,20200403,sz300003_20200403
15,300003.SZ,20200407,sz300003_20200407
16,300003.SZ,20200408,sz300003_20200408
17,300003.SZ,20200409,sz300003_20200409
18,300003.SZ,20200410,sz300003_20200410
19,300003.SZ,20200413,sz300003_20200413
20,300003.SZ,20200414,sz300003_20200414
21,002237.SZ,20200316,sz002237_20200316
22,002237.SZ,20200317,sz002237_20200317
23,002237.SZ,20200318,sz002237_20200318
24,002237.SZ,20200319,sz002237_20200319
25,002237.SZ,20200320,sz002237_20200320
26,002237.SZ,20200323,sz002237_20200323
27,002237.SZ,20200324,sz002237_20200324
28,002237.SZ,20200325,sz002237_20200325
29,002237.SZ,20200326,sz002237_20200326
30,002237.SZ,20200327,sz002237_20200327
31,002237.SZ,20200330,sz002237_20200330
32,002237.SZ,20200331,sz002237_20200331
33,002237.SZ,20200401,sz002237_20200401
34,002237.SZ,20200402,sz002237_20200402
35,002237.SZ,20200403,sz002237_20200403
36,002237.SZ,20200407,sz002237_20200407
37,002237.SZ,20200408,sz002237_20200408
38,002237.SZ,20200409,sz002237_20200409
39,002237.SZ,20200410,sz002237_20200410
40,002237.SZ,20200413,sz002237_20200413
41,002237.SZ,20200414,sz002237_20200414
42,600422.SH,20200316,sh600422_20200316
43,600422.SH,20200317,sh600422_20200317
44,600422.SH,20200318,sh600422_20200318
45,600422.SH,20200319,sh600422_20200319
46,600422.SH,20200320,sh600422_20200320
47,600422.SH,20200323,sh600422_20200323
48,600422.SH,20200324,sh600422_20200324
49,600422.SH,20200325,sh600422_20200325
50,600422.SH,20200326,sh600422_20200326
51,600422.SH,20200327,sh600422_20200327
52,600422.SH,20200330,sh600422_20200330
53,600422.SH,20200331,sh600422_20200331
54,600422.SH,20200401,sh600422_20200401
55,600422.SH,20200402,sh600422_20200402
56,600422.SH,20200403,sh600422_20200403
57,600422.SH,20200407,sh600422_20200407
58,600422.SH,20200408,sh600422_20200408
59,600422.SH,20200409,sh600422_20200409
60,600422.SH,20200410,sh600422_20200410
